flow,node_id,node_type,node_name,topic_literal
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,emon/emonth5/temperature_calibrated
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,system/boot
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,zara/android/domotica
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,zara/domotics/BedroomHumidex
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,zara/domotics/LivingHumidex
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,zigbee2mqtt/TU-cucinaEsterno
AI climate,e987e367138f30ef,function,function 22,casa/clima/previsione_meteo
AI climate,5eef15f00d7a6c51,function,Registrazione consumi ML,Europe/Rome
AI climate,5eef15f00d7a6c51,function,Registrazione consumi ML,TeslaPowerwall/load_instant_power
AI climate,5eef15f00d7a6c51,function,Registrazione consumi ML,TeslaPowerwall/solar_instant_power
AI climate,5eef15f00d7a6c51,function,Registrazione consumi ML,casa/clima/log_database
AI climate,c62d3a1ac2f90baf,change,,zara/domotics/BedroomHumidex
AI climate,c62d3a1ac2f90baf,change,,zara/domotics/LivingHumidex
AI climate,cdf7b32e8316a813,change,Salva VMC Notte,casa/clima/stat/vmc_max_notte
AI climate,421b22f34085b3a4,change,Salva Min Off,casa/clima/stat/min_off_time
AI climate,57450c9a56563e38,change,Salva Min Run,casa/clima/stat/min_run_time
AI climate,c02bfb5d7e893f49,change,Salva Target Humidex,casa/clima/stat/target_humidex
AI climate,2796fd499f6b3ae2,function,Recupero Variabili File System per UI,casa/clima/cmnd/deficit_tolerance_time
AI climate,2796fd499f6b3ae2,function,Recupero Variabili File System per UI,casa/clima/cmnd/min_off_time
AI climate,2796fd499f6b3ae2,function,Recupero Variabili File System per UI,casa/clima/cmnd/min_run_time
AI climate,2796fd499f6b3ae2,function,Recupero Variabili File System per UI,casa/clima/cmnd/target_humidex
AI climate,2796fd499f6b3ae2,function,Recupero Variabili File System per UI,casa/clima/cmnd/vmc_max_notte
AI climate,c5776fb6e9ed4862,switch,Router UI,casa/clima/cmnd/deficit_tolerance_time
AI climate,c5776fb6e9ed4862,switch,Router UI,casa/clima/cmnd/min_off_time
AI climate,c5776fb6e9ed4862,switch,Router UI,casa/clima/cmnd/min_run_time
AI climate,c5776fb6e9ed4862,switch,Router UI,casa/clima/cmnd/target_humidex
AI climate,c5776fb6e9ed4862,switch,Router UI,casa/clima/cmnd/vmc_max_notte
AI climate,1892365e63ba846f,change,Salva Deficit Tolerance Time,casa/clima/stat/deficit_tolerance_time
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,/esp8266/brink/fanspeed
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,Europe/Rome
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,N/A
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,TeslaPowerwall/SOE
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,TeslaPowerwall/load_instant_power
AI climate,ea54c259689cd3c1,function,Machine Learning domotico locale ad alta precisione,TeslaPowerwall/solar_instant_power
